"dia","tramo","inter","N"
"Friday","Ensenada-Tijuana",FALSE,45
"Friday","Mexicali-La Rumorosa",FALSE,36
"Friday","San Felipe-La Venta",FALSE,26
"Friday","Ensenada-Punta Colonet",FALSE,4
"Friday","Ensenada-Tijuana",TRUE,26
"Friday","San Quintín-Guayaquil",FALSE,1
"Friday","Tijuana-La Rumorosa",FALSE,22
"Friday","Tijuana-Ensenada",FALSE,2
"Friday","San Felipe-La Venta",TRUE,21
"Friday","Mexicali-La Rumorosa",TRUE,27
"Friday","Ensenada-Ruta del Vino",FALSE,3
"Friday","La Paz-Buenavista",FALSE,1
"Friday","Uruapan-Cuatro_Caminos",FALSE,1
"Friday","Tepic-Entronque Rosamorada",FALSE,3
"Friday","Mazatlán-El Palmito Libre",FALSE,1
"Friday","Obregón-Guaymas",FALSE,6
"Friday","Caborca-Santa Ana",FALSE,3
"Friday","Mexicali-La Venta",FALSE,16
"Friday","Guerrero Negro-Rancho Chapala",FALSE,2
"Friday","Loreto-Constitución",FALSE,1
"Friday","Puerto Peñasco-Los Vidrios",FALSE,3
"Friday","San Luis Río Colorado-Los Vidrios",FALSE,8
"Friday","Tijuana-La Rumorosa",TRUE,2
"Friday","Ensenada-Héroes de la Independencia",TRUE,4
"Friday","Tecate-La Rumorosa",FALSE,5
"Friday","Obregón-Estación Masiaca",FALSE,2
"Friday","Hermosillo-Santa Ana",FALSE,7
"Friday","Hermosillo-Guaymas",FALSE,4
"Friday","Morelia-Encuandureo",FALSE,1
"Friday","Caborca-Sonoyta",FALSE,6
"Friday","Gómez Palacio-Caseta Ceballos",FALSE,1
"Friday","Tlajomulco-Tapalpa",FALSE,1
"Friday","Entronque La Cruz-Mazatlán",FALSE,3
"Friday","Entronque La Cruz-Mazatlán",TRUE,3
"Friday","Guadalajara-Ixtlán del Río",FALSE,1
"Friday","Guanajuato-Entronque Lagos de Moreno",FALSE,1
"Friday","Oaxaca-Tepelmeme",FALSE,1
"Friday","La Paz-Entronque El Pescadero",FALSE,2
"Friday","Tepic-Rosamorada Libre",FALSE,1
