"","eventLabel","totalEvents"
"1","http%3A%2F%2Fcatalogo.datos.gob.mx%2Fdataset%2F92120cd9-a8fd-42cf-a519-0b8a8079377b%2Fresource%2F717f0aaf-0c49-4d58-b9c3-d7274fd105d5%2Fdownload%2Finventariofederal2004.csv",1
"2","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F11601_MexicoConectado.csv",12
"3","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21001_DGC_Contratos-csv.csv",14
"4","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21101_DGCC_Programa_NacionalC.csv",9
"5","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21102_DGCC_Jurisdiccion_Red_F.csv",6
"6","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_01ZONA1_1_PC_FELICIANO.csv",4
"7","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_02ZONA1_2_JOLUTA.csv",4
"8","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_03ZONA1_3_SAN_JUAN_BOSCO.csv",2
"9","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_04ZONA1_4_PC_SAN_MARTIN.csv",2
"10","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_05ZONA1_5_AMOZOC.csv",2
"11","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_06ZONA1_6_PC_AMOZOC.csv",2
"12","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_07ZONA2_1_MONTECILLOS.csv",2
"13","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_08ZONA2_3_AUTODROMO_AGS.csv",2
"14","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_09ZONA2_4_PUERTA_PALMILLAS.csv",3
"15","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_10ZONA2_5_PC_PALMILLAS.csv",2
"16","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_11ZONA2_6_SAN_SEBASTIAN.csv",2
"17","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_12ZONA3_1_PC_TEPOZTLAN.csv",2
"18","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_13ZONA3_2_PC_TLALPAN.csv",3
"19","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_14ZONA3_3_PC_CHICHEN%2520ITZA.csv",2
"20","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_15ZONA3_4_KAUA.csv",2
"21","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_16ZONA3_5_PC_SEYBAPLAYA.csv",2
"22","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21201_DGST_17ZONA3_6_SEYBAPLAYA.csv",2
"23","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21202_DGST_BNC-MAT-2013.csv",3
"24","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21401_TarifasVigentes.csv",5
"25","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21402_CasetasDeCobro_Ubica.csv",6
"26","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31001_DGAC_01SASE_ABRIL_2014_FLET%2520INT.csv",4
"27","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31001_DGAC_02SASE_ABRIL_2014_FLET%2520NAC.csv",3
"28","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31001_DGAC_03SASE_ABRIL_2014_REG%2520INT.csv",4
"29","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31001_DGAC_04SASE_ABRIL_2014_REG%2520NAC.csv",4
"30","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31101_PEREMPRESA%2520FERROVIARIA.csv",4
"31","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31102_LICPERTIPOLIC.csv",9
"32","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31103_LICPERTIPOLICCAP.csv",2
"33","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31104_LICSOLICITUD.csv",2
"34","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31201_FLOTA_ACTIVA_Mayo.csv",5
"35","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31202_TramitesSPFMayo.csv",3
"36","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31203_eLicenciasVigentes.csv",8
"37","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31301_DGPMP_MEDICINA_PREVENTIVA.csv",4
"38","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F41101_DGPTR_AvanceTDT.csv",6
"39","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F51001_DGP_01_BDport_stats.csv",6
"40","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F51101_DGMM_01_Matriculaci%25C3%25B3n%25202014%2520completas.csv",3
"41","http%3A%2F%2Fdata.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F51101_DGMM_02_MENORES%2520A%2520100%2520M%2520DE%2520ESLORA.csv",4
"42","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F110801_Base%2520Nacional%2520ENSat%2520junio%252011_Final.csv",2
"43","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F110805_Base%25201er%2520nivel%2520ENSat%2520junio%252011_Final.csv",3
"44","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F110805_Base%25202do%2520nivel%2520ENSat%2520junio%252011_Final.csv",2
"45","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F110805_Base%25203er%2520nivel%2520ENSat%2520junio%252011_Final.csv",2
"46","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F110922_Base%2520encuesta%2520nacional%2520de%2520guarder%25C3%25ADas%2520Julio11_U.csv",2
"47","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F2012Sep_GuardBaseDatos.csv",2
"48","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F2013Sep_GuarderiaBaseDatos.csv",8
"49","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F2013_Jul_ENSat_1erNivel.csv",6
"50","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F2013_Jul_ENSat_2doNivel.csv",11
"51","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F28-feb-14.csv",2
"52","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F30-ABR-2014.csv",3
"53","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F30-JUN-2014.csv",2
"54","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F30-nov-13.csv",10
"55","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F31-JUL-2014.csv",16
"56","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F31-MAY-2014.csv",2
"57","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F31-dic-13.csv",5
"58","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F31-ene-14.csv",3
"59","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2F31-mar-14.csv",8
"60","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FABR-2014.csv",4
"61","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FBase%25201er%2520nivel%2520ENSat%2520Julio10%2520Final.csv",4
"62","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FBase%25202do%2520nivel%2520ENSat%2520Julio10%2520_Final.csv",3
"63","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FBase%25203er%2520nivel%2520ENSat%2520Julio10%2520_Final.csv",2
"64","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FBase%2520Guarder%25C3%25ADas%2520Mayo%252010_Final%2520_portal.csv",2
"65","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FDIC-2013.csv",10
"66","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FENE-2014.csv",12
"67","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FENSAT%2520Nacional%2520(3%2520niveles)%2520Jul10.csv",2
"68","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FENSat%2520Nov-Dic%252009%25201er%2520nivel.csv",7
"69","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FENSat%2520Nov-Dic%252009%2520Nacional.csv",8
"70","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FENSat%2520Nov-Dic%252010%25201er%2520Nivel_U.csv",2
"71","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FENSat%2520Nov-Dic%252010%25202do%2520Nivel_U.csv",1
"72","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FENSat%2520Septiembre%25202012%25201er%2520Nivel_Final.csv",4
"73","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FENSat%2520Septiembre%25202012%25202do%2520Nivel_Final.csv",2
"74","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FENSat%2520Septiembre%25202012%25203er%2520Nivel_Final.csv",3
"75","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FENSat%2520nov%2520-%2520dic%25202010%2520Nacional_U.csv",2
"76","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FENSatNov-Dic092donivel.csv",4
"77","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FFEB-2014.csv",5
"78","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FMAR-2014.csv",6
"79","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FMAY-2014.csv",17
"80","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FNOV-2013.csv",33
"81","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FNov2011_120130_BaseENSat1erNivel.csv",2
"82","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FNov2011_120130_BaseENSat_2doNivel.csv",1
"83","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FNov2011_120130_BaseENSat_3erNivel.csv",1
"84","http%3A%2F%2Fdatos.imss.gob.mx%2Fsites%2Fdefault%2Ffiles%2FNov2011_120130_BaseENSat_Nacional.csv",2
"85","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F11601_MexicoConectado.csv",29
