"inst","descargas","url","url_cat","fecha","conjuntos","recursos"
"ayuntamiento-de-san-luis-potosi",146,"http://adela.datos.gob.mx//instituciones/ayuntamiento-de-san-luis-potosi","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/218/Inventario_-_Ayuntamiento_de_SLP.csv","2014-12-10 20:33:00",2,4
"ayuntamiento-de-san-pedro-garza-garcia",68,"http://adela.datos.gob.mx//instituciones/ayuntamiento-de-san-pedro-garza-garcia","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/231/Cat_logo_San_Pedro-utf8.csv","2014-12-23 23:42:00",2,14
"ayuntamiento-de-xalapa",825,"http://adela.datos.gob.mx//instituciones/ayuntamiento-de-xalapa","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/355/InventarioDatosXalapa18052015.csv","2015-06-11 18:08:00",10,29
"ayuntamiento-de-zapopan",3,"http://adela.datos.gob.mx//instituciones/ayuntamiento-de-zapopan","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/365/metadata.csv","2015-06-18 23:44:00",8,21
"cdi",82,"http://adela.datos.gob.mx//instituciones/cdi","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/292/catalogo_v2.0_CDI.csv","2015-03-03 00:52:00",5,5
"cfe",722,"http://adela.datos.gob.mx//instituciones/cfe","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/310/Inventariov1.2CFEProductivo.csv","2015-04-13 16:51:00",10,10
"conagua",1076,"http://adela.datos.gob.mx//instituciones/conagua","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/58/_inventario__conagua_-_Sheet1.csv","2014-06-25 22:09:00",7,19
"conapo",1976,"http://adela.datos.gob.mx//instituciones/conapo","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/353/inventario_db_conapo.csv","2015-06-11 01:00:00",2,11
"coneval",1681,"http://adela.datos.gob.mx//instituciones/coneval","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/346/Inventario_Completo_7.0.csv","2015-06-01 21:51:00",10,37
"estado-de-morelos",12,"http://adela.datos.gob.mx//instituciones/estado-de-morelos","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/281/dataSet2.csv","2015-02-27 00:08:00",2,3
"estado-de-puebla",269,"http://adela.datos.gob.mx//instituciones/estado-de-puebla","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/259/BlocDeNotasSinErrores.csv","2015-01-26 16:41:00",12,12
"fonacot",2,"http://adela.datos.gob.mx//instituciones/fonacot","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/345/plantilla_de_inventario_fonacot_290515.csv","2015-05-29 23:43:00",2,2
"iepsa",3,"http://adela.datos.gob.mx//instituciones/iepsa","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/380/Cat_logo-Inventario_datos_abiertos_150630.csv","2015-06-30 14:52:00",3,10
"imss",643,"http://adela.datos.gob.mx//instituciones/imss","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/368/IMSS_-_Sheet1__13_.csv","2015-06-19 00:01:00",5,159
"imt",3,"http://adela.datos.gob.mx//instituciones/imt","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/360/Copia_de_Cat_logo_Red_Nacional_de_Caminosv2.0.csv","2015-06-17 15:54:00",1,1
"inegi",3508,"http://adela.datos.gob.mx//instituciones/inegi","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/378/plantilla_de_inventario_INEGIjunio.csv","2015-06-26 16:24:00",68,1464
"nafin",191,"http://adela.datos.gob.mx//instituciones/nafin","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/349/Inventario_v2.0_-_NAFIN.csv","2015-06-09 18:55:00",1,6
"pemex",2184,"http://adela.datos.gob.mx//instituciones/pemex","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/370/pemex_bueno_03dic2014.csv","2015-06-23 16:34:00",64,121
"pgr",55,"http://adela.datos.gob.mx//instituciones/pgr","https://adela-production.s3.amazonaws.com/uploads/inventory/csv_file/161/Inventario-de-datos_PGR-xlsx__1_.csv","2014-09-26 20:30:00",1,3
