"X","eventLabel","totalEvents"
1,"http://catalogo.datos.gob.mx/dataset/92120cd9-a8fd-42cf-a519-0b8a8079377b/resource/717f0aaf-0c49-4d58-b9c3-d7274fd105d5/download/inventariofederal2004.csv",1
2,"http://data.sct.gob.mx:8082/datos/datos/abiertos/11601_MexicoConectado.csv",12
3,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21001_DGC_Contratos-csv.csv",14
4,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21101_DGCC_Programa_NacionalC.csv",9
5,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21102_DGCC_Jurisdiccion_Red_F.csv",6
6,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_01ZONA1_1_PC_FELICIANO.csv",4
7,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_02ZONA1_2_JOLUTA.csv",4
8,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_03ZONA1_3_SAN_JUAN_BOSCO.csv",2
9,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_04ZONA1_4_PC_SAN_MARTIN.csv",2
10,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_05ZONA1_5_AMOZOC.csv",2
11,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_06ZONA1_6_PC_AMOZOC.csv",2
12,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_07ZONA2_1_MONTECILLOS.csv",2
13,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_08ZONA2_3_AUTODROMO_AGS.csv",2
14,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_09ZONA2_4_PUERTA_PALMILLAS.csv",3
15,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_10ZONA2_5_PC_PALMILLAS.csv",2
16,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_11ZONA2_6_SAN_SEBASTIAN.csv",2
17,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_12ZONA3_1_PC_TEPOZTLAN.csv",2
18,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_13ZONA3_2_PC_TLALPAN.csv",3
19,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_14ZONA3_3_PC_CHICHEN ITZA.csv",2
20,"http://data.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_15ZONA3_4_KAUA.csv",2
