Speaker
Oscar Oszlak 
Amen Ra Mashariki 
Andreas Schedler
CSO representative
Debbie Budlender
George Soros
Hans Rosling
Joel Alejandro Gómez Treviño
Jonathan Fox
José Ramón Gil García
Judith Butler 
Larry Lessig
Luis Carlos Ugalde 
Luis Fernando Aguilar
Nathaniel Heller
Steve Coast
Alasdair Roberts
Alberto Abella
Alejandro Pscitelli
Alvaro Herrero
Andres Velazquez
Beth Noveck
Bill Gates
Cecilia Blondet
Charmian Gooch
Chris Milk
Chris Taggart
Conrad Hackett
Corinna Zarek
Cory Doctorow
Daniela Bas
Duncan Wood
Edgardo Buscaglia
Emilio Guerra Diaz
Ernesto Schwartz
Ernesto Villanueva
Ezequiel Padilla 
Gavin Newsom
Gilbert Sendugwa
Guinés de Rus Mendoza
Guy Berger
"H.E. Deputy President, Republic of Kenya"
Hal Plotkin
Henry Mintzberg
Hetmilo Leal Lara
Iris Palma
Issa Luna Pla
Ivan Krastev
James McKinney
Jaqueline Peschard
Jay Naidoo
Jennifer Pahlka
Jeremy Howard
Jermyn Brooks
Joan Font
Joel Salas
John Gaventa
José Mujica
Jose Ugaz
Joseph Stiglitz
Juan Garay
Julio Frenk
Ken Robinson
Kit Lykketoft
Kurt Opsahl
Larry Page
Li Tao
Magister Eglis
Manuel Aris
Manuel Villoria
Maria Amparo Casar
Mark Bovens 
Martha Lane Fox
Mauricio Merino Huerta
Mauricio Meschoulam
Miguel Carbonell Sánchez 
Mike Braken
Mila Gascó 
Muhammad Yunus
Natalia Anders 
Nigel Shadbolt 
Oluseun Onigbinde
Onathan Ortmans
Pablo Pascale
Patricia Cursain Villalobos
Patricia Espinosa
Pedro Kumamoto
Pierry Levy
Pilar Pozner
Rachel Haot
Rakesh Rajani
Ray Kurszweil
Richard H. Thaler
Rodrigo Canales
Rodrigo Ramírez
Sam Pitroda 
Sandra Crucianelli
Sergio Aguayo
Thomas Piketty
Tiago Peixoto
Tomas Malon
Ulrich Richter Morales
Vanesa Rubio Márquez
